Name,Phone Number,Address,Zipcode,District
Academy For Personal Leadership And Excellence         ,7182203139,East 184 Street   ,10468,The Bronx
Creston Academy         ,7182203139,East 181 Street   ,10453,The Bronx
Elementary School For Math Science And Technology         ,7187675035, East 181 Street   ,10453,The Bronx
Jonas Bronck Academy         ,7187675035,East Fordh Road   ,10458,The Bronx
  Timothy Dwight        ,7189338061, 033    Jerome Avenue   ,10468,The Bronx
  Great Expectations        ,7189338061, 085    Marion Avenue   ,10458,The Bronx
  Ryer  Elementary School         ,7187652502,9  East 183 Street   ,10458,The Bronx
School For Environmental Citizenship         ,7185843926,East 181 Street   ,10453,The Bronx
  Roland Patterson          ,7185843926, 229 Harlem River Park Bridge   ,10453,The Bronx
    Macombs     ,7185845275, 232   Macombs Road   ,10453,The Bronx
  Leadership  Community Service   Macombs     ,7185845275, 303 Leadership & Community Service   Macombs Road   ,10453,The Bronx
    Andrews     ,7187640085, 390   Andrews Avenue   ,10453,The Bronx
     Aqueduct     ,7187640085, 091    Aqueduct Avenue   ,10453,The Bronx
  Sedgwick   Popham     ,7185843291, 109 Sedgwick   Poph Avenue   ,10453,The Bronx
  Morris Heights          ,7185843291, 204  Dr. Martin Luther King Jr. Blvd   ,10453,The Bronx
    Sedgwick     ,7185633292, 226   Sedgwick Avenue   ,10453,The Bronx
        ,7185633292, 306   West Tremont Avenue ,10453,The Bronx
    Andrews     ,7185836266, 396   Andrews Avenue   ,10453,The Bronx
The  School  Young Leaders         ,7185836266, West Tremont Avenue   ,10453,The Bronx
The New American Academy  Roberto Clemente State           ,7185837007, Harlem River Park Bridge   ,10453,The Bronx
  Isaac Varian        ,7185837007, 008 Briggs Avenue   ,10458,The Bronx
  Edgar Allan Poe        ,7185835466, 046 Briggs Avenue   ,10458,The Bronx
  Poe Center       ,7185835466, 246  Grand Concourse   ,10468,The Bronx
    Webster   ,7185835501, 54   Webster Avenue ,10458,The Bronx
Rose Hill PreK Center        ,7185835501,Marion Avenue   ,10458,The Bronx
